Va,Vb,Vc,Ia,Ib,Ic,fault_type
12.56695192,3042.988908,10.26114214,1698.74741,21.73235891,606.3453054,PACTG
12.51775029,3145.874602,10.16342195,1719.310855,21.14809321,634.3008879,PACTG
12.46778577,3248.426353,10.06431978,1740.132908,20.5644274,662.6169097,PACTG
12.41679128,3350.603896,9.96418724,1760.905995,19.97958551,690.9822718,PACTG
12.36445543,3452.406014,9.863413612,1781.281327,19.39153217,719.0450512,PACTG
12.31054616,3553.866226,9.762271434,1801.007422,18.79892428,746.5522135,PACTG
12.25500408,3655.032889,9.660810017,1820.029676,18.20172338,773.4496271,PACTG
12.19796828,3755.943041,9.558840173,1838.511268,17.60121167,799.9024632,PACTG
12.13972463,3856.601845,9.456015575,1856.767144,16.99941462,826.2279359,PACTG
12.08059609,3956.976859,9.351977695,1875.137504,16.39818925,852.7673734,PACTG
12.02081784,4057.00954,9.246504633,1893.851318,15.798408,879.7488347,PACTG
11.96044588,4156.638288,9.139603751,1912.934355,15.19961516,907.1951859,PACTG
11.89933561,4255.822316,9.03151074,1932.198399,14.60028779,934.9142976,PACTG
11.83719945,4354.555606,8.922596624,1951.31589,13.99857023,962.5751595,PACTG
11.77372155,4452.864795,8.813220603,1969.95013,13.39315139,989.8393747,PACTG
11.70868476,4550.792257,8.703589204,1987.889049,12.78387359,1016.495408,PACTG
11.64206017,4648.372517,8.593678324,2005.129135,12.17179356,1042.541945,PACTG
11.57402277,4745.612907,8.483249197,2021.876055,11.55869487,1068.187147,PACTG
11.50488641,4842.487068,8.371950454,2038.461763,10.94628713,1093.764234,PACTG
11.43498268,4938.943947,8.259464696,2055.211254,10.33545158,1119.597246,PACTG
11.36453146,5034.927853,8.14563954,2072.312191,9.72588487,1145.870699,PACTG
11.29355413,5130.40005,8.030550941,2089.739439,9.116301781,1172.55518,PACTG
11.22186528,5225.351938,7.914473963,2107.264636,8.505075561,1199.418513,PACTG
11.14914697,5319.804163,7.797774393,2124.546912,7.891010937,1226.117883,PACTG
11.07507712,5413.792424,7.680765182,2141.268495,7.273905287,1252.335994,PACTG
10.99946116,5507.346802,7.563586228,2157.261022,6.654638141,1277.906812,PACTG
10.92231448,5600.474369,7.44615491,2172.572116,6.034753185,1302.880691,PACTG
10.84386135,5693.152979,7.328206327,2187.445668,5.415753098,1327.502996,PACTG
10.76444998,5785.338656,7.209405397,2202.223735,4.798440504,1352.114903,PACTG
10.68441643,5876.982771,7.089485538,2217.209294,4.182594359,1377.016124,PACTG
10.60395195,5968.050853,6.96835783,2232.544681,3.567129104,1402.344419,PACTG
10.52302687,6058.534222,6.846148043,2248.154276,2.950656396,1428.019981,PACTG
10.44140304,6148.449254,6.723147792,2263.774304,2.332163755,1453.776767,PACTG
10.35873072,6237.82515,6.599701001,2279.057796,1.71149128,1479.268118,PACTG
10.27469181,6326.68622,6.476071198,2293.712744,1.089404062,1504.204382,PACTG
10.18913181,6415.037052,6.352342899,2307.618219,0.467231505,1528.467554,PACTG
10.10212725,6502.857447,6.228395152,2320.87208,0.153752702,1552.157217,PACTG
10.01395986,6590.1092,6.103956665,2333.751232,0.772899088,1575.549568,PACTG
9.925007447,6676.751041,5.978719065,2346.600369,1.390434093,1598.986038,PACTG
9.835594552,6762.754487,5.852463282,2359.693696,2.007299249,1622.736068,PACTG
9.745863566,6848.113183,5.725148742,2373.124919,2.624658803,1646.888839,PACTG
9.65571849,6932.841463,5.596931297,2386.769443,3.243310173,1671.317122,PACTG
9.56486544,7016.963132,5.468103786,2400.333851,3.863291606,1695.727545,PACTG
9.472933866,7100.496197,5.338984063,2413.472829,4.483868043,1719.777073,PACTG
9.379630038,7183.440928,5.209794551,2425.926765,5.103878636,1743.209131,PACTG
9.28486018,7265.776761,5.080580913,2437.624995,5.722277354,1765.95502,PACTG
9.188773291,7347.469352,4.951200687,2448.713467,6.338610976,1788.160226,PACTG
9.091705144,7428.484137,4.821385599,2459.495809,6.95319457,1810.125234,PACTG
8.994046064,7508.799594,4.690851965,2470.311416,7.56690664,1832.184597,PACTG
8.896085755,7588.413831,4.559416175,2481.399354,8.180723766,1854.5726,PACTG
8.797898676,7667.34153,4.427069876,2492.802487,8.795218357,1877.329112,PACTG
8.699316443,7745.602877,4.293986386,2504.350124,9.41025584,1900.283151,PACTG
8.599999347,7823.209994,4.160456276,2515.726046,10.02504699,1923.120592,PACTG
8.499577762,7900.157658,4.026778109,2526.594661,10.63852506,1945.508899,PACTG
8.397806163,7976.422771,3.89314654,2536.734784,11.24984688,1967.229043,PACTG
8.294666656,8051.972647,3.759581653,2546.127562,11.85877792,1988.261978,PACTG
8.190380182,8126.778033,3.625926391,2554.963441,12.46578131,2008.795225,PACTG
8.085320269,8200.824407,3.491913031,2563.565474,13.07175755,2029.147044,PACTG
7.979864855,8274.115895,3.357272292,2572.259708,13.6775636,2049.638543,PACTG
7.874246359,8346.669893,3.221843164,2581.244531,14.28356107,2070.4648,PACTG
7.768461419,8418.505142,3.085640339,2590.511201,14.88940991,2091.61642,PACTG
7.662276462,8489.629075,2.948853369,2599.847264,15.49420202,2112.882766,PACTG
7.555327127,8560.030699,2.811777502,2608.921402,16.09688224,2133.935487,PACTG
7.447270407,8629.68268,2.674703368,2617.415692,16.69675148,2154.45893,PACTG
7.337927671,8698.551687,2.537807812,2625.152349,17.29379199,2174.275374,PACTG
7.227360137,8766.611873,2.401088914,2632.16431,17.88865869,2193.415103,PACTG
7.115846937,8833.854937,2.264370528,2638.681509,18.48234394,2212.10342,PACTG
